 1171.312  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
 1172.320  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
 1184.416  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
 1185.424  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
 1231.792  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
 1232.800  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
 1305.376  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
 1306.384  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
 1328.560  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
 1329.568  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
 1331.584  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
 1332.592  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
 1357.792  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
 1358.800  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
 1371.904  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
 1372.912  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
 1407.184  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
 1408.192  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
 1445.488  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
 1446.496  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
 1450.528  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
 1451.536  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
 1459.600  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
 1460.608  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
 1475.728  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
 1476.736  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
 1496.896  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
 1497.904  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
